district,facility,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,has_full_accessibility
mungwi dho,malole,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,mumba,0,0,0,1,1,1,1,1,1,1,1,0.5,FALSE
mungwi dho,mungwi baptist,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,ndasa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,ngoli,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,nseluka,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mungwi dho,peleti,0,0,0,1,1,1,1,1,1,1,1,0.5,FALSE
mungwi dho,rosa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mwinilunga dho,chibwika,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,FALSE
mwinilunga dho,chisengi sengi,0.5,0.5,1,1,1,1,1,1,1,1,0.75,0.5,FALSE
mwinilunga dho,chiwoma,0.75,0.5,0.75,1,1,1,1,1,1,1,0.75,0.5,FALSE
mwinilunga dho,ikelenge,0.75,0.75,1,1,1,1,1,1,1,1,1,0.75,FALSE
mwinilunga dho,jimbe,0.5,0.5,0.75,1,1,1,1,1,1,1,0.75,0.5,FALSE
mwinilunga dho,kafweku,0.5,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,FALSE
mwinilunga dho,kakoma,0.25,0.25,0.25,0.5,0.75,1,1,1,1,1,0.5,0.25,FALSE
mwinilunga dho,kalene (kawota),1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mwinilunga dho,kamapanda,0.25,0.25,0.5,0.75,1,1,1,1,1,1,0.5,0.25,FALSE
mwinilunga dho,kanyihampa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mwinilunga dho,kanyama,0.5,0.5,0.75,1,1,1,1,1,1,1,1,0.5,FALSE
mwinilunga dho,kanzenzi,0.75,0.5,1,1,1,1,1,1,1,1,0.75,0.5,FALSE
mwinilunga dho,kapundu,0.5,0.5,0.75,1,1,1,1,1,1,1,0.75,0.5,FALSE
mwinilunga dho,katuyola,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mwinilunga dho,kayipaka,0.25,0.25,0.5,0.75,1,1,1,1,1,1,0.75,0.5,FALSE
mwinilunga dho,kazozu,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.25,FALSE
mwinilunga dho,lumwana,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mwinilunga dho,lwawu,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,FALSE
mwinilunga dho,mukangala,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,FALSE
mwinilunga dho,musangila,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,0.75,FALSE
mwinilunga dho,ntambu sachitolu,0.25,0.25,0.5,1,1,1,1,1,1,1,0.75,0.25,FALSE
mwinilunga dho,nyangombe,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mwinilunga dho,sachibondu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mwinilunga dho,sailunga,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
mwinilunga dho,sakapoti,0.5,0.5,0.75,1,1,1,1,1,1,1,0.75,0.5,FALSE
mwinilunga dho,salujinga,0.25,0.5,0.5,1,1,1,1,1,1,1,0.75,0.5,FALSE
mwinilunga dho,tom ilunga,0.25,0.5,0.5,1,1,1,1,1,1,1,0.75,0.25,FALSE
nakonde dho,chanka,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
nakonde dho,chilolwa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
nakonde dho,chozi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
nakonde dho,mwenzo,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
nakonde dho,nakonde,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
nakonde dho,ntatumbila,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
nakonde dho,shem,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
nakonde dho,waitwika,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
shangombo dho,kaanja,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
shangombo dho,kaunga mashi,1,0,0,0,0.75,1,1,1,1,1,1,1,FALSE
shangombo dho,mbanda,0.75,0,0,0,0.75,1,1,1,1,1,1,1,FALSE
shangombo dho,mulonga,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
shangombo dho,mutomena,0.75,0,0,0,0.75,1,1,1,1,1,1,1,FALSE
shangombo dho,nalwashi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
shangombo dho,nangweshi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
shangombo dho,shangombo,1,1,0.75,0,1,1,1,1,1,1,1,1,FALSE
shangombo dho,silowana,1,1,0.75,0,1,1,1,1,1,1,1,1,FALSE
shangombo dho,sinjembela,0.75,0,0,0,0.75,1,1,1,1,1,1,1,FALSE
shangombo dho,sioma,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
shangombo dho,sipuma,1,1,0.75,0,1,1,1,1,1,1,1,1,FALSE
shangombo dho,sitoti,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
