district,configuration,facility,facility_has_full_accessibility,start_date,end_date,lead_time_days
chavuma dho,xdock,lukolwe mission,FALSE,2009-09-10,2009-09-25,15
chavuma dho,xdock,lukolwe mission,FALSE,2009-10-15,2009-10-22,7
chavuma dho,xdock,lukolwe mission,FALSE,2009-11-12,2009-11-13,1
chavuma dho,xdock,lukolwe mission,FALSE,2009-12-10,2009-12-31,21
chavuma dho,xdock,lukolwe mission,FALSE,2010-01-14,2010-03-22,67
chavuma dho,xdock,lukolwe mission,FALSE,2010-02-11,2010-03-22,39
chavuma dho,xdock,lukolwe mission,FALSE,2010-03-12,2010-03-22,10
chavuma dho,xdock,chiyeke,TRUE,2009-05-14,2009-05-19,5
chavuma dho,xdock,chiyeke,TRUE,2009-06-11,2009-06-22,11
chavuma dho,xdock,chiyeke,TRUE,2009-07-16,2009-07-27,11
chavuma dho,xdock,chiyeke,TRUE,2009-08-13,2009-08-18,5
chavuma dho,xdock,chiyeke,TRUE,2009-09-10,2009-09-18,8
chavuma dho,xdock,chiyeke,TRUE,2009-10-15,2009-11-13,29
chavuma dho,xdock,chiyeke,TRUE,2009-11-12,2009-11-13,1
chavuma dho,xdock,chiyeke,TRUE,2009-12-10,2009-12-25,15
chavuma dho,xdock,chiyeke,TRUE,2010-01-14,2010-01-22,8
chavuma dho,xdock,chiyeke,TRUE,2010-02-11,2010-02-13,2
chavuma dho,xdock,chiyeke,TRUE,2010-03-12,2010-04-18,37
chavuma dho,xdock,chiyeke,TRUE,2010-04-15,2010-04-18,3
chavuma dho,xdock,chingi,TRUE,2009-05-14,2009-05-15,1
chavuma dho,xdock,chingi,TRUE,2009-06-11,2009-06-17,6
chavuma dho,xdock,chingi,TRUE,2009-07-16,2009-07-27,11
chavuma dho,xdock,chingi,TRUE,2009-08-13,2009-08-18,5
chavuma dho,xdock,chingi,TRUE,2009-09-10,2009-09-18,8
chavuma dho,xdock,chingi,TRUE,2009-10-15,2009-10-19,4
chavuma dho,xdock,chingi,TRUE,2009-11-12,2009-11-19,7
chavuma dho,xdock,chingi,TRUE,2009-12-10,2009-12-28,18
chavuma dho,xdock,chingi,TRUE,2010-01-14,2010-01-22,8
chavuma dho,xdock,chingi,TRUE,2010-02-11,2010-02-17,6
chavuma dho,xdock,chingi,TRUE,2010-03-12,2010-03-24,12
chavuma dho,xdock,chingi,TRUE,2010-04-15,2010-04-21,6
chavuma dho,xdock,nyatanda,FALSE,2009-05-14,2009-06-25,42
chavuma dho,xdock,nyatanda,FALSE,2009-06-11,2009-06-25,14
chavuma dho,xdock,nyatanda,FALSE,2009-07-16,2009-07-28,12
chavuma dho,xdock,nyatanda,FALSE,2009-08-13,2009-08-26,13
chavuma dho,xdock,nyatanda,FALSE,2009-09-10,2009-09-22,12
chavuma dho,xdock,nyatanda,FALSE,2009-10-15,2009-10-27,12
chavuma dho,xdock,nyatanda,FALSE,2009-11-12,2009-11-25,13
chavuma dho,xdock,nyatanda,FALSE,2009-12-10,2009-12-29,19
chavuma dho,xdock,nyatanda,FALSE,2010-01-14,2010-01-27,13
chavuma dho,xdock,nguvu,FALSE,2009-07-16,2009-07-28,12
chavuma dho,xdock,nguvu,FALSE,2009-08-13,2009-09-23,41
chavuma dho,xdock,nguvu,FALSE,2009-09-10,2009-09-23,13
chavuma dho,xdock,nguvu,FALSE,2009-10-15,2009-10-28,13
chavuma dho,xdock,nguvu,FALSE,2009-11-12,2009-11-26,14
chavuma dho,xdock,nguvu,FALSE,2009-12-10,2009-12-29,19
kaoma dho,xdock,luena camp,TRUE,2009-08-13,2009-09-04,22
kaoma dho,xdock,luena camp,TRUE,2009-09-10,2009-10-16,36
kaoma dho,xdock,luena camp,TRUE,2009-10-15,2009-10-16,1
kaoma dho,xdock,luena camp,TRUE,2009-11-12,2009-11-26,14
kaoma dho,xdock,luena camp,TRUE,2009-12-10,2009-12-24,14
kaoma dho,xdock,luena camp,TRUE,2010-01-20,2010-01-22,2
kaoma dho,xdock,luena camp,TRUE,2010-02-17,2010-03-16,27
kaoma dho,xdock,luena camp,TRUE,2010-03-17,2010-04-02,16
kaoma dho,xdock,luena camp,TRUE,2010-04-21,2010-04-22,1
kaoma dho,xdock,nkenga,TRUE,2009-08-13,2009-09-08,26
kaoma dho,xdock,nkenga,TRUE,2009-09-10,2009-11-19,70
kaoma dho,xdock,nkenga,TRUE,2009-10-15,2009-11-19,35
kaoma dho,xdock,nkenga,TRUE,2009-11-12,2009-11-19,7
kaoma dho,xdock,nkenga,TRUE,2009-12-10,2010-01-21,42
kaoma dho,xdock,nkenga,TRUE,2010-01-20,2010-01-21,1
kaoma dho,xdock,nkenga,TRUE,2010-02-17,2010-03-11,22
kaoma dho,xdock,kahare,TRUE,2009-08-13,2009-09-15,33
kaoma dho,xdock,kahare,TRUE,2009-09-10,2009-09-15,5
kaoma dho,xdock,kahare,TRUE,2009-10-15,2009-11-26,42
kaoma dho,xdock,kahare,TRUE,2009-11-12,2009-11-26,14
kaoma dho,xdock,kahare,TRUE,2009-12-10,2009-12-30,20
kaoma dho,xdock,kahare,TRUE,2010-01-20,2010-03-19,58
kaoma dho,xdock,kahare,TRUE,2010-02-17,2010-03-19,30
kaoma dho,xdock,kahare,TRUE,2010-03-17,2010-03-19,2
kaoma dho,xdock,kahare,TRUE,2010-04-21,2010-04-23,2
kaoma dho,xdock,njonjolo,FALSE,2009-08-13,2009-09-04,22
kaoma dho,xdock,njonjolo,FALSE,2009-09-10,2009-12-02,83
kaoma dho,xdock,njonjolo,FALSE,2009-10-15,2009-12-02,48
kaoma dho,xdock,njonjolo,FALSE,2009-11-12,2009-12-02,20
kaoma dho,xdock,njonjolo,FALSE,2009-12-10,2009-12-29,19
kaoma dho,xdock,njonjolo,FALSE,2010-01-20,2010-01-25,5
kaoma dho,xdock,njonjolo,FALSE,2010-02-17,2010-03-19,30
kaoma dho,xdock,njonjolo,FALSE,2010-03-17,2010-03-19,2
kaoma dho,xdock,namilangi,TRUE,2009-08-13,2009-09-04,22
kaoma dho,xdock,namilangi,TRUE,2009-09-10,2009-09-15,5
kaoma dho,xdock,namilangi,TRUE,2009-10-15,2009-10-30,15
kaoma dho,xdock,namilangi,TRUE,2009-11-12,2009-12-08,26
kaoma dho,xdock,namilangi,TRUE,2009-12-10,2010-02-18,70
kaoma dho,xdock,namilangi,TRUE,2010-01-20,2010-02-18,29
kaoma dho,xdock,namilangi,TRUE,2010-02-17,2010-02-18,1
kaoma dho,xdock,namilangi,TRUE,2010-03-17,2010-03-19,2
kaoma dho,xdock,namilangi,TRUE,2010-04-21,2010-04-22,1
kaoma dho,xdock,kabilamwandi,TRUE,2009-09-10,2009-09-15,5
kaoma dho,xdock,kabilamwandi,TRUE,2009-10-15,2009-12-12,58
kaoma dho,xdock,kabilamwandi,TRUE,2009-11-12,2009-12-12,30
kaoma dho,xdock,kabilamwandi,TRUE,2009-12-10,2009-12-12,2
kaoma dho,xdock,kabilamwandi,TRUE,2010-01-20,2010-02-17,28
kaoma dho,xdock,kabilamwandi,TRUE,2010-02-17,2010-04-09,51
kaoma dho,xdock,kabilamwandi,TRUE,2010-03-17,2010-04-09,23
kaoma dho,xdock,winda,FALSE,2009-09-10,2009-09-15,5
kaoma dho,xdock,winda,FALSE,2009-10-15,2009-11-13,29
kaoma dho,xdock,winda,FALSE,2009-11-12,2009-11-13,1
kaoma dho,xdock,winda,FALSE,2009-12-10,2009-12-12,2
kaoma dho,xdock,winda,FALSE,2010-01-20,2010-03-11,50
kaoma dho,xdock,winda,FALSE,2010-02-17,2010-03-11,22
kaoma dho,xdock,winda,FALSE,2010-03-17,2010-04-01,15
kaoma dho,xdock,nakayembe,TRUE,2009-09-10,2009-12-03,84
kaoma dho,xdock,nakayembe,TRUE,2009-10-15,2009-12-03,49
kaoma dho,xdock,nakayembe,TRUE,2009-11-12,2009-12-03,21
kaoma dho,xdock,nakayembe,TRUE,2009-12-10,2010-01-16,37
kaoma dho,xdock,nakayembe,TRUE,2010-01-20,2010-03-18,57
kaoma dho,xdock,nakayembe,TRUE,2010-02-17,2010-03-18,29
kaoma dho,xdock,nakayembe,TRUE,2010-03-17,2010-03-18,1
kaoma dho,xdock,nakayembe,TRUE,2010-04-21,2010-04-27,6
kaoma dho,xdock,afumba,TRUE,2009-09-10,2009-12-25,106
kaoma dho,xdock,afumba,TRUE,2009-10-15,2009-12-25,71
kaoma dho,xdock,afumba,TRUE,2009-11-12,2009-12-25,43
kaoma dho,xdock,afumba,TRUE,2009-12-10,2009-12-25,15
kaoma dho,xdock,afumba,TRUE,2010-01-20,2010-01-23,3
kaoma dho,xdock,afumba,TRUE,2010-02-17,2010-03-13,24
kaoma dho,xdock,afumba,TRUE,2010-03-17,2010-04-20,34
kaoma dho,xdock,mayukwayukwa 1,TRUE,2009-09-10,2010-02-21,164
kaoma dho,xdock,mayukwayukwa 1,TRUE,2009-10-15,2010-02-21,129
kaoma dho,xdock,mayukwayukwa 1,TRUE,2009-11-12,2010-02-21,101
kaoma dho,xdock,mayukwayukwa 1,TRUE,2009-12-10,2010-02-21,73
kaoma dho,xdock,mayukwayukwa 1,TRUE,2010-01-20,2010-02-21,32
kaoma dho,xdock,mayukwayukwa 1,TRUE,2010-02-17,2010-02-21,4
kaoma dho,xdock,mayukwayukwa 1,TRUE,2010-03-17,2010-04-01,15
kaoma dho,xdock,luampa,TRUE,2009-09-10,2009-10-29,49
kaoma dho,xdock,luampa,TRUE,2009-10-15,2009-10-29,14
kaoma dho,xdock,luampa,TRUE,2009-11-12,2009-11-19,7
kaoma dho,xdock,luampa,TRUE,2009-12-10,2009-12-29,19
kaoma dho,xdock,luampa,TRUE,2010-01-20,2010-01-26,6
kaoma dho,xdock,luampa,TRUE,2010-02-17,2010-03-13,24
kaoma dho,xdock,mangango,TRUE,2009-09-10,2009-09-14,4
kaoma dho,xdock,mangango,TRUE,2009-10-15,2009-10-20,5
kaoma dho,xdock,mangango,TRUE,2009-11-12,2009-11-20,8
kaoma dho,xdock,mangango,TRUE,2009-12-10,2009-12-29,19
kaoma dho,xdock,mangango,TRUE,2010-01-20,2010-03-17,56
kaoma dho,xdock,mangango,TRUE,2010-02-17,2010-03-17,28
kaoma dho,xdock,mangango,TRUE,2010-03-17,2010-04-20,34
kaoma dho,xdock,kaoma urban,TRUE,2009-09-10,2009-09-18,8
kaoma dho,xdock,kaoma urban,TRUE,2009-10-15,2009-10-29,14
kaoma dho,xdock,kaoma urban,TRUE,2009-11-12,2009-12-24,42
kaoma dho,xdock,kaoma urban,TRUE,2009-12-10,2009-12-24,14
kaoma dho,xdock,kaoma urban,TRUE,2010-01-20,2010-01-22,2
kaoma dho,xdock,kaoma urban,TRUE,2010-02-17,2010-03-16,27
kaoma dho,xdock,kaoma urban,TRUE,2010-03-17,2010-04-20,34
kaoma dho,xdock,mulamba,TRUE,2009-09-10,2009-10-30,50
kaoma dho,xdock,mulamba,TRUE,2009-10-15,2009-10-30,15
kaoma dho,xdock,mulamba,TRUE,2009-11-12,2009-12-24,42
kaoma dho,xdock,mulamba,TRUE,2009-12-10,2009-12-24,14
kaoma dho,xdock,mulamba,TRUE,2010-01-20,2010-01-22,2
kaoma dho,xdock,mulamba,TRUE,2010-02-17,2010-03-16,27
kaoma dho,xdock,mulamba,TRUE,2010-03-17,2010-04-20,34
kaoma dho,xdock,longe,TRUE,2009-09-10,2009-10-13,33
kaoma dho,xdock,longe,TRUE,2009-10-15,2009-10-19,4
kaoma dho,xdock,nkeyema,TRUE,2009-09-10,2009-09-18,8
kaoma dho,xdock,nkeyema,TRUE,2009-10-15,2009-10-23,8
kaoma dho,xdock,nkeyema,TRUE,2009-11-12,2009-12-05,23
kaoma dho,xdock,nkeyema,TRUE,2009-12-10,2009-12-29,19
kaoma dho,xdock,nkeyema,TRUE,2010-01-20,2010-02-15,26
kaoma dho,xdock,nkeyema,TRUE,2010-02-17,2010-03-15,26
kaoma dho,xdock,nkeyema,TRUE,2010-03-17,2010-03-19,2
kaoma dho,xdock,nkeyema,TRUE,2010-04-21,2010-04-23,2
kaoma dho,xdock,kaaba,TRUE,2009-09-10,2009-09-29,19
kaoma dho,xdock,kaaba,TRUE,2009-10-15,2009-11-23,39
kaoma dho,xdock,kaaba,TRUE,2009-11-12,2009-11-23,11
kaoma dho,xdock,kaaba,TRUE,2009-12-10,2009-12-23,13
kaoma dho,xdock,kaaba,TRUE,2010-01-20,2010-02-15,26
kaoma dho,xdock,kaaba,TRUE,2010-02-17,2010-04-01,43
kaoma dho,xdock,kaaba,TRUE,2010-03-17,2010-04-01,15
kaoma dho,xdock,kaaba,TRUE,2010-04-21,2010-04-26,5
kaoma dho,xdock,mulwa,TRUE,2009-09-10,2009-10-08,28
kaoma dho,xdock,mulwa,TRUE,2009-10-15,2009-12-03,49
kaoma dho,xdock,mulwa,TRUE,2009-11-12,2009-12-03,21
kaoma dho,xdock,mulwa,TRUE,2009-12-10,2010-01-16,37
kaoma dho,xdock,mulwa,TRUE,2010-01-20,2010-02-17,28
kaoma dho,xdock,mulwa,TRUE,2010-02-17,2010-03-11,22
kaoma dho,xdock,mulwa,TRUE,2010-03-17,2010-03-18,1
