district,facility,date
kasama dho,mbusa,2009-06-26
kasama dho,mulobola,2009-06-27
kasama dho,kasama urban,2009-06-29
kasama dho,chisanga,2009-06-29
kasama dho,musa,2009-06-30
kasama dho,tazara,2009-06-30
kasama dho,nkolemfumu,2009-06-30
kasama dho,chanda mukulu,2009-06-30
kasama dho,mumbi mfumu,2009-07-01
kasama dho,mulanshi,2009-07-01
kasama dho,mbusa,2009-07-01
kasama dho,mulobola,2009-07-01
kasama dho,mwamba,2009-07-03
kasama dho,lukupa,2009-07-03
kasama dho,army,2009-07-21
kasama dho,location,2009-07-21
kasama dho,chilubula,2009-07-22
kasama dho,kasama urban,2009-07-22
kasama dho,chilongoshi,2009-07-23
kasama dho,misengo,2009-07-23
kasama dho,zns chishimba,2009-07-23
kasama dho,lubushi,2009-07-24
kasama dho,munkonge,2009-07-24
kasama dho,chanda mukulu,2009-07-27
kasama dho,musa,2009-07-27
kasama dho,nkolemfumu,2009-07-27
kasama dho,mulanshi,2009-07-28
kasama dho,mumbi mfumu,2009-07-28
kasama dho,chisanga,2009-07-29
kasama dho,tazara,2009-07-29
kasama dho,mulenga,2009-07-29
kasama dho,college,2009-07-29
kasama dho,misamfu,2009-07-30
kasama dho,milima,2009-07-30
kasama dho,kateshi,2009-07-30
kasama dho,lukashya,2009-07-30
kasama dho,kasakula,2009-07-31
kasama dho,chiombo,2009-07-31
kasama dho,kateshi,2009-08-01
kasama dho,lukupa,2009-08-19
kasama dho,lukashi,2009-08-19
kasama dho,mwamba,2009-08-19
kasama dho,misengo,2009-08-20
kasama dho,chilongoshi,2009-08-20
kasama dho,zns chishimba,2009-08-20
kasama dho,chilubula,2009-08-20
kasama dho,mulobola,2009-08-22
kasama dho,mbusa,2009-08-22
kasama dho,mwasha,2009-08-22
kasama dho,mumbi mukulu,2009-08-22
kasama dho,army,2009-08-24
kasama dho,location,2009-08-24
kasama dho,kasama urban,2009-08-24
kasama dho,chiombo,2009-08-31
kasama dho,kasakula,2009-08-31
kasama dho,lubushi,2009-08-31
kasama dho,munkonge,2009-08-31
kasama dho,misamfu,2009-09-01
kasama dho,milima,2009-09-01
kasama dho,mumbi mfumu,2009-09-02
kasama dho,tazara,2009-09-02
kasama dho,mulanshi,2009-09-02
kasama dho,army,2009-09-02
kasama dho,kasama urban,2009-09-02
kasama dho,location,2009-09-02
kasama dho,musa,2009-09-03
kasama dho,nkolemfumu,2009-09-03
kasama dho,chanda mukulu,2009-09-03
kasama dho,mulanshi,2009-09-03
kasama dho,mumbi mfumu,2009-09-03
kasama dho,lukashya,2009-09-04
kasama dho,college,2009-09-04
kasama dho,chisanga,2009-09-04
kasama dho,mulenga,2009-09-04
kasama dho,lukupa,2009-09-22
kasama dho,mwamba,2009-09-22
kasama dho,lukashi,2009-09-22
kasama dho,chilubula,2009-09-23
kasama dho,misengo,2009-09-23
kasama dho,chilongoshi,2009-09-23
kasama dho,zns chishimba,2009-09-23
kasama dho,chiombo,2009-09-24
kasama dho,kasakula,2009-09-24
kasama dho,munkonge,2009-09-24
kasama dho,lubushi,2009-09-24
kasama dho,mumbi mukulu,2009-09-28
kasama dho,mbusa,2009-09-28
kasama dho,mulobola,2009-09-28
kasama dho,musa,2009-09-29
kasama dho,nkolemfumu,2009-09-29
kasama dho,chanda mukulu,2009-09-29
kasama dho,kateshi,2009-09-30
kasama dho,milima,2009-09-30
kasama dho,misamfu,2009-09-30
kasama dho,lukashya,2009-09-30
kasama dho,mulenga,2009-10-01
kasama dho,tazara,2009-10-01
kasama dho,chisanga,2009-10-01
kasama dho,college,2009-10-01
kasama dho,army,2009-10-20
kasama dho,kasama urban,2009-10-20
kasama dho,mulenga,2009-10-20
kasama dho,college,2009-10-20
kasama dho,location,2009-10-20
kasama dho,kateshi,2009-10-23
kasama dho,milima,2009-10-23
