district,facility,date
kabompo dho,loloma,2010-02-08
kabompo dho,mayawu,2010-02-03
kabompo dho,mumbeji,2010-02-04
kabompo dho,ndungo,2010-02-02
kabompo dho,nkulwashi,2010-02-05
kabompo dho,saint kalemba,2010-02-05
kabompo dho,chifuwe south,2010-03-05
kabompo dho,chikonkwelo,2010-03-03
kabompo dho,dyambombola,2010-03-03
kabompo dho,kabulamema,2010-03-05
kabompo dho,kalunga,2010-03-03
kabompo dho,kayombo,2010-03-03
kabompo dho,mayawu,2010-03-02
kabompo dho,nkulwashi,2010-03-05
kabompo dho,saint kalemba,2010-03-05
kabompo dho,chifuwe south,2010-04-06
kabompo dho,chikonkwelo,2010-04-01
kabompo dho,dyambombola,2010-04-12
kabompo dho,kabompo,2010-04-07
kabompo dho,kabulamema,2010-04-07
kabompo dho,kalunga,2010-04-07
kabompo dho,kasamba,2010-04-07
kabompo dho,kashinakaji,2010-04-09
kabompo dho,kayombo,2010-04-06
kabompo dho,luansongwa,2010-04-12
kabompo dho,loloma,2010-04-08
kabompo dho,mayawu,2010-04-07
kabompo dho,mumbeji,2010-04-09
kabompo dho,ndungo,2010-04-06
kabompo dho,nkulwashi,2010-04-07
kabompo dho,saint kalemba,2010-04-06
kabompo dho,chifuwe south,2010-05-06
kabompo dho,chikonkwelo,2010-05-04
kabompo dho,dyambombola,2010-05-03
kabompo dho,kabompo,2010-05-07
kabompo dho,kabulamema,2010-05-05
kabompo dho,kalunga,2010-05-03
kabompo dho,kasamba,2010-05-07
kabompo dho,kashinakaji,2010-05-07
kabompo dho,kayombo,2010-05-03
kabompo dho,luansongwa,2010-05-03
kabompo dho,loloma,2010-05-05
kabompo dho,mayawu,2010-05-07
kabompo dho,mumbeji,2010-05-06
kabompo dho,ndungo,2010-05-06
kabompo dho,nkulwashi,2010-05-04
kabompo dho,saint kalemba,2010-05-03
kaoma dho,mulamba,2009-05-09
kaoma dho,kaoma urban,2009-05-09
kaoma dho,katunda,2009-05-09
kaoma dho,chitwa,2005-05-09
kaoma dho,namilangi,2009-05-09
kaoma dho,kahare,2009-05-09
kaoma dho,njonjolo,2009-05-09
kaoma dho,nkenga,2009-05-09
kaoma dho,mulwa,2009-05-09
kaoma dho,mwanambuyu,2009-05-09
