district,facility,start_date,end_date,lead_time
kasama dho,musa,2009-08-06,2009-09-03,28
kasama dho,musa,2009-09-02,2009-09-03,1
kasama dho,musa,2009-10-07,2009-10-31,24
kasama dho,musa,2009-11-04,2009-12-01,27
kasama dho,musa,2009-12-02,2009-12-30,28
kasama dho,musa,2010-01-06,2010-01-24,18
kasama dho,musa,2010-02-03,2010-03-28,53
kasama dho,musa,2010-03-03,2010-03-28,25
kasama dho,musa,2010-04-08,2010-04-16,8
kasama dho,nkolemfumu,2009-06-03,2009-06-30,27
kasama dho,nkolemfumu,2009-07-10,2009-07-27,17
kasama dho,nkolemfumu,2009-08-06,2009-09-03,28
kasama dho,nkolemfumu,2009-09-02,2009-09-03,1
kasama dho,nkolemfumu,2009-10-07,2009-10-31,24
kasama dho,nkolemfumu,2009-11-04,2009-12-01,27
kasama dho,nkolemfumu,2009-12-02,2009-12-30,28
